ID	Project Name	Project Description	GitHub URL	Suspicious?
166302	bootstrap	"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."	https://github.com/twbs/bootstrap	
363623	react-native	A framework for building native apps with React.	https://github.com/facebook/react-native	
16	angular.js	HTML enhanced for web apps	https://github.com/angular/angular.js	
433781	flutter	"Framework for building high-performance, high-fidelity iOS and Android apps"	https://github.com/flutter/flutter	
462925	swift	The Swift Programming Language	https://github.com/apple/swift	
293158	angular		https://github.com/angular/angular	
518149	electron	Build cross platform desktop apps with web technologies	https://github.com/electron/electron	
1182	html5-boilerplate	"A professional front-end template for building fast, robust, and adaptable web apps or sites."	https://github.com/h5bp/html5-boilerplate	
193381	free-programming-books-zh_CN	:books: å…çè´_ç_„è®¡ç®—æœºç_–ç¨‹ç±»ä¸_æ–‡ä__ç±çï_Œæ¬¢è¿_æ_•ç¨¿	https://github.com/justjavac/free-programming-books-zh_CN	
184	meteor	"Meteor, the JavaScript App Platform"	https://github.com/meteor/meteor	
369197	thefuck	Magnificent app which corrects your previous console command.	https://github.com/nvbn/thefuck	
326805	awesome-android-ui	A curated list of awesome Android UI/UX libraries	https://github.com/wasabeef/awesome-android-ui	
443	AFNetworking	A delightful iOS and OS X networking framework	https://github.com/AFNetworking/AFNetworking	
1764	jQuery-File-Upload	"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine,"	https://github.com/blueimp/jQuery-File-Upload	
397216	gatsby	Transform plain text into dynamic blogs and websites using React.js	https://github.com/gatsbyjs/gatsby	
515769	android-architecture	A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.	https://github.com/googlesamples/android-architecture	
6943	retrofit	"Type-safe HTTP client for Android and Java by Square, Inc."	https://github.com/square/retrofit	
1801	okhttp	An HTTP+HTTP/2 client for Android and Java applications.	https://github.com/square/okhttp	
276677	Alamofire	Elegant HTTP Networking in Swift	https://github.com/Alamofire/Alamofire	
269486	awesome-ios	"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects "	https://github.com/vsouza/awesome-ios	
41057	build-web-application-with-golang	A golang ebook intro how to build a web with golang	https://github.com/astaxie/build-web-application-with-golang	
515905	Awesome-Hacking	"A collection of various awesome lists for hackers, pentesters and security researchers"	https://github.com/Hack-with-Github/Awesome-Hacking	
11285	kotlin	The Kotlin Programming Language	https://github.com/JetBrains/kotlin	
144824	todomvc	"Helping you select an MV* framework - Todo apps for Backbone.js, Ember.js, AngularJS, and many more"	https://github.com/tastejs/todomvc	
